iter	Passed	Remaining
620	2143	1307
621	2145	1303
622	2150	1301
623	2152	1296
624	2154	1292
625	2157	1288
626	2159	1284
627	2162	1280
628	2166	1277
629	2169	1273
630	2171	1269
631	2174	1265
632	2176	1261
633	2180	1258
634	2182	1254
635	2185	1250
636	2187	1246
637	2190	1242
638	2194	1239
639	2196	1235
640	2198	1231
641	2201	1227
642	2204	1223
643	2206	1220
644	2210	1216
645	2212	1212
646	2215	1208
647	2218	1205
648	2222	1201
649	2225	1198
650	2228	1194
651	2231	1190
652	2233	1186
653	2236	1183
654	2239	1179
655	2241	1175
656	2245	1172
657	2247	1168
658	2250	1164
659	2253	1160
660	2255	1156
661	2258	1152
662	2260	1149
663	2262	1144
664	2266	1141
665	2268	1137
666	2271	1133
667	2273	1129
668	2275	1125
669	2278	1122
670	2280	1118
671	2282	1114
672	2285	1110
673	2289	1107
674	2292	1103
675	2295	1100
676	2298	1096
677	2300	1092
678	2302	1088
679	2304	1084
680	2307	1080
681	2309	1077
682	2312	1073
683	2314	1069
684	2317	1065
685	2321	1062
686	2324	1059
687	2327	1055
688	2329	1051
689	2332	1047
690	2335	1044
691	2339	1041
692	2342	1037
693	2344	1033
694	2347	1030
695	2349	1026
696	2353	1023
697	2356	1019
698	2358	1015
699	2361	1011
700	2364	1008
701	2366	1004
702	2369	1001
703	2372	997
704	2374	993
705	2377	990
706	2380	986
707	2383	983
708	2386	979
709	2388	975
710	2391	971
711	2393	968
712	2395	964
713	2398	960
714	2401	957
715	2403	953
716	2406	950
717	2410	946
718	2415	943
719	2417	940
720	2419	936
721	2422	932
722	2424	928
723	2427	925
724	2429	921
725	2432	918
726	2434	914
727	2437	910
728	2439	906
729	2442	903
730	2444	899
731	2446	895
732	2449	892
733	2451	888
734	2454	884
735	2456	881
736	2459	877
737	2462	874
738	2464	870
739	2469	867
740	2471	863
741	2474	860
742	2476	856
743	2479	853
744	2482	849
745	2484	846
746	2487	842
747	2489	838
748	2491	834
749	2494	831
750	2500	829
751	2503	825
752	2506	822
753	2508	818
754	2510	814
755	2514	811
756	2516	807
757	2518	804
758	2521	800
759	2524	797
760	2528	794
761	2531	790
762	2533	786
763	2535	783
764	2537	779
765	2545	777
766	2547	773
767	2550	770
768	2553	767
769	2559	764
770	2563	761
771	2566	758
772	2569	754
773	2576	752
774	2579	748
775	2581	745
776	2584	741
777	2589	738
778	2592	735
779	2595	732
780	2598	728
781	2601	725
782	2605	721
783	2608	718
784	2611	715
785	2613	711
786	2619	708
787	2622	705
788	2625	702
789	2627	698
790	2633	695
791	2636	692
792	2639	689
793	2642	685
794	2644	681
795	2648	678
796	2653	675
797	2655	672
798	2657	668
799	2663	665
800	2666	662
801	2669	658
802	2671	655
803	2674	651
804	2676	648
805	2679	644
806	2681	641
807	2684	637
808	2686	634
809	2692	631
810	2695	628
811	2697	624
812	2699	620
813	2701	617
814	2704	613
815	2708	610
816	2711	607
817	2713	603
818	2716	600
819	2720	597
820	2723	593
821	2725	590
822	2728	586
823	2730	583
824	2737	580
825	2740	577
826	2742	573
827	2744	570
828	2747	566
829	2750	563
830	2752	559
831	2754	556
832	2757	552
833	2759	549
834	2762	545
835	2765	542
836	2768	539
837	2770	535
838	2773	532
839	2777	528
840	2780	525
841	2783	522
842	2786	518
843	2788	515
844	2790	511
845	2794	508
846	2797	505
847	2799	501
848	2802	498
849	2804	494
850	2807	491
851	2810	488
852	2813	484
853	2815	481
854	2818	477
855	2820	474
856	2824	471
857	2826	467
858	2829	464
859	2831	461
860	2834	457
861	2837	454
862	2840	450
863	2842	447
864	2845	444
865	2848	440
866	2851	437
867	2854	434
868	2857	430
869	2859	427
870	2862	423
871	2865	420
872	2868	417
873	2870	413
874	2873	410
875	2875	407
876	2878	403
877	2882	400
878	2886	397
879	2888	393
880	2890	390
881	2894	387
882	2897	383
883	2899	380
884	2902	377
885	2904	373
886	2907	370
887	2910	367
888	2912	363
889	2915	360
890	2917	356
891	2920	353
892	2923	350
893	2925	346
894	2928	343
895	2930	340
896	2932	336
897	2934	333
898	2937	330
899	2939	326
900	2943	323
901	2945	320
902	2947	316
903	2950	313
904	2953	310
905	2956	306
906	2958	303
907	2960	300
908	2963	296
909	2965	293
910	2968	290
911	2971	286
912	2973	283
913	2975	279
914	2981	276
915	2983	273
916	2986	270
917	2988	266
918	2990	263
919	2994	260
920	2999	257
921	3003	254
922	3007	250
923	3010	247
924	3014	244
925	3017	241
926	3019	237
927	3022	234
928	3025	231
929	3027	227
930	3030	224
931	3032	221
932	3035	217
933	3038	214
934	3041	211
935	3043	208
936	3046	204
937	3048	201
938	3051	198
939	3054	194
940	3057	191
941	3060	188
942	3062	185
943	3065	181
944	3068	178
945	3070	175
946	3073	172
947	3076	168
948	3084	165
949	3087	162
950	3090	159
951	3093	155
952	3097	152
953	3100	149
954	3102	146
955	3106	142
956	3109	139
957	3116	136
958	3119	133
959	3123	130
960	3127	126
961	3132	123
962	3135	120
963	3138	117
964	3142	113
965	3145	110
966	3148	107
967	3151	104
968	3156	100
969	3161	97
970	3164	94
971	3168	91
972	3172	88
973	3175	84
974	3179	81
975	3183	78
976	3189	75
977	3192	71
978	3195	68
979	3201	65
980	3204	62
981	3206	58
982	3210	55
983	3214	52
984	3219	49
985	3221	45
986	3224	42
987	3229	39
988	3232	35
989	3235	32
990	3238	29
991	3240	26
992	3244	22
993	3246	19
994	3249	16
995	3252	13
996	3255	9
997	3258	6
998	3262	3
999	3265	0
